,Country,FIFA_Code,IOC_Code,ISO_Code
0,Algeria,ALG,ALG,DZA
1,United Arab Emirates,UAE,UAE,ARE
2,American Samoa,ASA,ASA,ASM
3,Angola,ANG,ANG,AGO
4,Antigua and Barbuda,ATG,ANT,ATG
5,Aruba,ARU,ARU,ABW
6,Bahamas,BAH,BAH,BHS
7,Bahrain,BHR,BRN,BHR
8,Bangladesh,BAN,BAN,BGD
9,Barbados,BRB,BAR,BRB
10,Belize,BLZ,BIZ,BLZ
11,Bermuda,BER,BER,BMU
12,Bhutan,BHU,BHU,BTN
13,Botswana,BOT,BOT,BWA
14,British Virgin Islands,VGB,IVB,VGB
15,Brunei,BRU,BRU,BRN
16,Bulgaria,BUL,BUL,BGR
17,Burkina Faso,BFA,BUR,BFA
18,Cambodia,CAM,CAM,KHM
19,Cayman Islands,CAY,CAY,CYM
20,Central African Republic,CTA,CAF,CAF
21,Costa Rica,CRC,CRC,CRI
22,Republic of the Congo,CGO,CGO,COG
23,Chad,CHA,CHA,TCD
24,Chile,CHI,CHI,CHL
25,Croatia,CRO,CRO,HRV
26,Denmark,DEN,DEN,DNK
27,El Salvador,SLV,ESA,SLV
28,Equatorial Guinea,EQG,GEQ,GNQ
29,Fiji,FIJ,FIJ,FJI
30,Gambia,GAM,GAM,GMB
31,Germany,GER,GER,DEU
32,Greece,GRE,GRE,GRC
33,Grenada,GRN,GRN,GRD
34,Guinea-Bissau,GNB,GBS,GNB
35,Guatemala,GUA,GUA,GTM
36,Guinea,GUI,GUI,GIN
37,Haiti,HAI,HAI,HTI
38,Honduras,HON,HON,HND
39,Indonesia,IDN,INA,IDN
40,Iran,IRN,IRI,IRN
41,Saint Kitts and Nevis,SKN,SKN,KNA
42,Kosovo,KVX,KOS,[3]
43,Kuwait,KUW,KUW,KWT
44,Latvia,LVA,LAT,LVA
45,Lesotho,LES,LES,LSO
46,Libya,LBY,LBA,LBY
47,Madagascar,MAD,MAD,MDG
48,Malawi,MWI,MAW,MWI
49,Malaysia,MAS,MAS,MYS
50,Mauritius,MRI,MRI,MUS
51,Mauritania,MTN,MTN,MRT
52,Mongolia,MNG,MGL,MNG
53,Myanmar,MYA,MYA,MMR
54,Netherlands,NED,NED,NLD
55,Nepal,NEP,NEP,NPL
56,Netherlands Antilles,ANT,AHO,[4]
57,New Caledonia,NCA,,NCL
58,Niger,NIG,NIG,NER
59,Nigeria,NGA,NGR,NGA
60,Oman,OMA,OMA,OMN
61,Paraguay,PAR,PAR,PRY
62,Philippines,PHI,PHI,PHL
63,Puerto Rico,PUR,PUR,PRI
64,State of Palestine,PLE,PLE,PSE
65,Portugal,POR,POR,PRT
66,Saudi Arabia,KSA,KSA,SAU
67,Singapore,SIN,SGP,SGP
68,Seychelles,SEY,SEY,SYC
69,Slovenia,SVN,SLO,SVN
70,Solomon Islands,SOL,SOL,SLB
71,South Africa,RSA,RSA,ZAF
72,Sri Lanka,SRI,SRI,LKA
73,Samoa,SAM,SAM,WSM
74,Sudan,SDN,SUD,SDN
75,Switzerland,SUI,SUI,CHE
76,Taiwan (Chinese Taipei),TPE,TPE,TWN
77,Tanzania,TAN,TAN,TZA
78,Trinidad and Tobago,TRI,TTO,TTO
79,Togo,TOG,TOG,TGO
80,Tonga,TGA,TGA,TON
81,Uruguay,URU,URU,URY
82,Saint Vincent and the Grenadines,VIN,VIN,VCT
83,U.S. Virgin Islands,VIR,ISV,VIR
84,Vietnam,VIE,VIE,VNM
85,Vanuatu,VAN,VAN,VUT
86,Zambia,ZAM,ZAM,ZMB
87,Zimbabwe,ZIM,ZIM,ZWE
