,Country,Codes
0,British Guiana,BGU
1,British India,BIN
2,Bohemia,BOH
3,Burma,BUR
4,Central African Republic,CAF
5,Ceylon,CEY
6,CIS,CIS
7,Czechoslovakia,TCH
8,Dahomey,DAH
9,Dutch East Indies,INH
10,East Germany,GDR
11,FR Yugoslavia,YUG
12,Gold Coast,GOC
13,Ireland,EIR
14,Lebanon,LIB
15,Malaya,MAL
16,Netherlands,HOL
17,Netherlands Antilles,ANT
18,New Hebrides,HEB
19,North Yemen,YAR
20,Northern Rhodesia,NRH
21,"Palestine, British Mandate",PAL
22,Rhodesia,RHO
23,Romania,ROM
24,Saar,SAA
25,Serbia and Montenegro,SCG
26,Siam,SIA
27,South Yemen,YMD
28,Southern Rhodesia,SRH
29,Soviet Union,URS
30,Sudan,SUD
31,Suriname,NGY
32,Taiwan,TAI
33,Tanganyika (1961–1964),TAA
34,United Arab Republic,UAR
35,Upper Volta,UPV
36,West Germany,FRG
37,Western Samoa,WSM
38,Yugoslavia,YUG
39,Zaire,ZAI
